# step2_factchecker_oq8.tsv -- W3-5, The Fact-Checker, sub-step 2.12. REPORT ONLY; nothing acted on.
# Population: literature/**/*.md, 168 files, read-digest 899e0ddfb70ed83f (path,size,mtime); also reproduced at 626cdba6a908919f.
# Paired PDFs: 112, read-digest e65e4d256e005532. Instrument: tools/audit_abstract_overlap.js
#   sha256 c517c18fb9e9192e..., 10-gram verbatim shingle overlap, PDF pages 1-3.
# overlap_asrun = the section the shipped-repaired regex extracts (terminator: next ^## or EOF).
# overlap_tight = the same measurement over the abstract PARAGRAPH only. They differ on 7 files.
# Rows: every file measuring >=1% on either column, plus the four accumulator-A4 files and the
#   ninth annotated heading (crawford), which measure 0.0% and are here because they are claimed
#   elsewhere to be findings. Files measuring 0.0% on both columns are not rowed individually.
# marked_as_quotation is a property of the FILE, not of the percentage. A shingle detector
#   measures overlap; passing-off is visible only by opening the file. Both columns are carried.
path	key	overlap_asrun_pct	overlap_tight_pct	shingles_tight	heading_as_written	marked_as_quotation	how_marked	rightsholder_and_access	opened	classification
literature/lunar-ice-and-geology/prettyman-2006-lunar-elemental-composition.md	prettyman-2006	100.0	100.0	261	## Abstract (transcribed from title page)	yes	section heading declares transcription; file's own ## Provenance prints "Copyright 2006 by the American Geophysical Union" as the source's printed line	AGU / JGR, not open access	yes	declared verbatim reproduction of a third-party abstract. Marked, not passed off. Full-length, all-rights-reserved. The one row where the marking does not settle the licence question.
literature/lunar-ice-and-geology/levin-2025-lunar-crustal-kreep-distribution.md	levin-2025	95.6	95.6	229	## Abstract (transcribed from title page)	yes	section heading declares transcription	AGU / JGR Planets, access not stated in file	yes	declared near-verbatim reproduction. Marked, not passed off. Licence unresolved in-file.
literature/lunar-ice-and-geology/mcleod-2017-extraterrestrial-ree.md	mcleod-2017	74.0	74.0	334	## Abstract (transcribed / lightly de-hyphenated from page 1)	yes	section heading declares transcription AND names the edit applied	MDPI Resources, file records "MDPI open-access review article"	yes	declared reproduction of an open-access abstract. Marked; attribution present; reuse permitted with attribution.
literature/space-economy-and-markets/castillo-rogez-2022-ceres-habitability.md	castillo-rogez-2022	54.1	54.1	218	## Abstract (transcribed)	yes	section heading declares transcription	AAS, file records "open access under CC BY 4.0"	yes	declared partial reproduction of a CC BY abstract. Marked; reuse permitted with attribution.
literature/lunar-ice-and-geology/andrews-hanna-2025-spa-magma-ocean.md	andrews-hanna-2025	40.9	40.9	115	## Abstract (transcribed from title page)	yes	section heading declares transcription	Nature, file records "(Nature, Open Access)"	yes	declared partial reproduction, condensed and bold-emphasised by the summariser. Marked.
literature/lunar-ice-and-geology/hagerty-2011-spa-basalt-pond-thorium.md	hagerty-2011	39.4	39.4	218	## Abstract (transcribed from title page, paragraph [1])	yes	section heading declares transcription AND names the source paragraph	AGU / JGR, access not stated in file	yes	declared partial reproduction, reworded first-person to "the authors". Marked.
literature/lunar-ice-and-geology/lawrence-2003-small-area-thorium.md	lawrence-2003	11.4	11.4	184	## Abstract (transcribed from title page)	yes	section heading declares transcription	AGU / JGR, PDF p1 prints "Copyright 2003 by the American Geophysical Union"	yes	declared reproduction. THE 11.4% IS A FLOOR, NOT A MEASURE: the source abstract is truncated mid-sentence in the pdftotext layer (two-column interleave) and the summary additionally rewords "we have derived" to "the authors derive". Structurally near-verbatim.
literature/lunar-ice-and-geology/wilson-2018-lp-thorium-reconstruction.md	wilson-2018	11.2	11.2	89	## Abstract (transcribed from title page)	yes	section heading declares transcription	arXiv preprint of a JGR Planets paper	yes	declared reproduction; same floor caveat as lawrence-2003. Marked.
literature/lunar-ice-and-geology/crawford-2015-lunar-resources-review.md	crawford-2015	0.0	0.0	96	## Abstract (as transcribed / paraphrased from the paper)	yes (over-claimed)	section heading declares transcription that the measurement does not find	arXiv preprint	yes	the project's own paraphrase under a heading that claims more transcription than it did. Error in the safe direction. Not a release problem; it is why "count the transcribed headings" is not an audit.
literature/space-economy-and-markets/ehricke-1984-selenospheric-economics.md	ehricke-1984	8.7	8.7	92	## Abstract	n/a	no marking, and none needed	Pergamon / Acta Astronautica	yes	the project's own compression, opening "Third installment of the series." Overlap is shared technical phrasing. Highest bare-heading file in the corpus and it is clean.
literature/power-and-thermal/ieee-2022-paper-sh-tcs-architecture-and-technical-challenges-update.md	ieee-2022-sh-tcs	5.9	5.9	220	## Abstract	n/a	-	-	no	measured only; below the ehricke-1984 ceiling that was opened and found clean.
literature/space-economy-and-markets/ehricke-1981-socioeconomic-lunar-evaluation.md	ehricke-1981	4.4	4.4	114	## Abstract	n/a	-	-	no	measured only.
literature/power-and-thermal/poston-2020-krusty-reactor-design.md	poston-2020	0.2	3.3	121	## Abstract	n/a	-	-	no	measured only. INSTRUMENT ROW: as-run reads 0.2% because the regex swallowed 2,600 shingles of body prose; the abstract alone reads 3.3%. Over-capture deflates, it does not inflate.
literature/growth-theory/jones-1995-rd-based-growth.md	jones-1995	2.7	2.7	147	## Abstract	n/a	-	-	no	measured only.
literature/isru-processing/leger-2025-energy-oxygen-moon.md	leger-2025	2.6	2.6	114	## Abstract	n/a	-	-	no	measured only.
