file	corpus	identifier	identifier_kind	confidence
473486main-iss-atcs-overview.md	both	nasa.gov/wp-content/uploads/2021/02/473486main_iss_atcs_overview.pdf	url	medium
acemoglu-2020-robots-and-jobs.md	intake	10.1086/705716	doi	medium:doi-unlabelled
adilov-2022-launch-cost-reductions.md	both	accessecon.com/pubs/eb/2022/volume42/eb-22-v42-i3-p130.pdf	url	medium
aghion-1992-model-growth-creative-destruction.md	both	10.2307/2951599	doi	high
andrews-hanna-2025-spa-magma-ocean.md	both	10.1038/s41586-025-09582-y	doi	high
aoki-2009-government-tfp-growth.md	intake	ideas.repec.org/p/tky/fseres/2009cf622.html	url	medium
azami-2024-lunar-manufacturing-review.md	both	10.48550/arxiv.2408.05823	doi	medium:copies-disagree(from:intake)
barnett-2025-regolith-consolidation-water-ice.md	lsei	10.52202/083095-0024	doi	medium:doi-unlabelled
barnett-2025-volatile-exposure-limits.md	lsei	10.52202/083095-0025	doi	medium:doi-unlabelled
barro-2004-economic-growth-textbook.md	both	mitpress.mit.edu/9780262025539/economic-growth	url	low:url-unlabelled
bea-depreciation-rates.md	both	apps.bea.gov/national/pdf/bea_depreciation_rates.pdf	url	low:url-unlabelled
beason-1996-targeting-japan.md	intake	jstor.org/stable/2109930	url	medium
beckley-2018-americas-role-japan-miracle.md	intake	10.1017/jea.2017.24	doi	high
belbin-2024-vsat-grd-demonstrator.md	lsei	ntrs.nasa.gov/citations/20240004914	url	medium
benaroya-1998-lunar-development-issues.md	both	10.1061/(asce)0893-1321(1998)11:4(111)	doi	medium:doi-unlabelled
benaroya-2001-commercial-lunar-base.md	both		none	none:host-only-url:resonance-pub.com
blount-2016-us-commercial-space-launch-act.md	both	scholarship.law.unc.edu/ncjolt/vol18/iss2/1	url	medium
caballero-2008-zombie-lending-japan.md	both	10.1257/aer.98.5.1943	doi	high
cannon-2020-lunar-ice-geologic-model.md	lsei	10.1016/j.icarus.2020.113778	doi	medium:doi-unlabelled
castillo-rogez-2022-ceres-habitability.md	both	10.3847/psj/ac34ee	doi	high
chirikjian-2002-self-replicating-robots-lunar.md	both	10.1109/tmech.2002.806232	doi	medium:doi-unlabelled
chirikjian-2022-entropy-symmetry-self-replication.md	both	arxiv.org/abs/2202.02938	url	medium
christiano-1989-japan-saving-rate.md	intake		none	none:block-present-no-identifier
colaprete-2010-lcross-ejecta-water-detection.md	lsei	10.1126/science.1186986	doi	medium:doi-unlabelled
colaprete-2010-lcross-water.md	both	10.1126/science.1186986	doi	medium:doi-unlabelled
colozza-2010-solar-lunar-oxygen.md	both		none	none:host-only-url:gltrs.grc.nasa.gov
colozza-2020-lunar-base-power-comparison.md	lsei	ntrs.nasa.gov/api/citations/20200001622/downloads/20200001622.pdf	url	medium
colvin-2020-lunar-cislunar-demand.md	both	ida.org/research-and-publications/publications/all/d/de/demand-drivers-of-the-lunar-and-cislunar-economy	url	medium
crawford-2015-lunar-resources-review.md	both	10.48550/arxiv.1410.6865	doi	high
csank-2022-powering-the-moon.md	both	ntrs.nasa.gov/citations/20220004165	url	medium
deming-1967-japan-quality-control.md	both		none	none:block-present-no-identifier
dingman-1993-dagger-and-gift-korean-war.md	intake	10.1163/187656193x00077	doi	high
downing-2005-sustainable-lunar-economy.md	both	10.2514/6.2005-2551	doi	medium:doi-unlabelled
dr-michael-nayak-luna-10.md	lsei		none	none:host-only-url:darpa.mil
ehricke-1974-lunar-industries.md	both	10.1016/0094-5765(74)90023-x	doi	medium:doi-unlabelled
ehricke-1981-selenosphere-energy.md	both	10.1016/0094-5765(81)90132-6	doi	medium:doi-unlabelled
ehricke-1981-socioeconomic-lunar-evaluation.md	both	10.1016/0094-5765(81)90131-4	doi	medium:doi-unlabelled
ehricke-1984-selenospheric-economics.md	both	10.1016/0094-5765(84)90003-1	doi	medium:doi-unlabelled
elvis-2016-peaks-eternal-light.md	lsei	10.1016/j.spacepol.2016.05.011	doi	medium:doi-unlabelled
esri-2016-japan-high-growth-economic-plans.md	intake		none	none:block-present-no-identifier
esteban-pretel-2009-postwar-japan-policy.md	intake	rieti.go.jp/en/publications/summary/09010004.html	url	medium
falcon-heavy-wikipedia.md	both		none	none:no-citation-block
flyvbjerg-2014-what-you-should-know-megaprojects.md	both	10.1002/pmj.21409	doi	high
freitas-1980-advanced-automation-space-missions.md	both	ntrs.nasa.gov/citations/19830007077	url	medium
gao-2011-neutron-detectors-helium3.md	both	gao.gov/products/gao-11-753	url	medium
gdp.md	both	data.worldbank.org/data-catalog/world-development-indicators	url	low:unlabelled-urls:2
giachino-2021-space-tourism-frontier.md	both	10.52255/smarttourism.2021.1.4.5	doi	medium:doi-unlabelled
glaser-2014-south-pole-illumination.md	lsei	10.1016/j.icarus.2014.08.013	doi	medium:doi-unlabelled
gordon-2001-lunar-dc-transmission.md	lsei	ntrs.nasa.gov/citations/20040191588	url	medium
gott-2024-card-gas-analysis-subsystem.md	intake	ttu-ir.tdl.org/items/e6cd0feb-d439-4f45-a072-9ad8dbdd9cb8	url	low:multiple-labelled-urls:2
hagerty-2011-spa-basalt-pond-thorium.md	both	10.1029/2010je003723	doi	high
hague-working-group-2019-building-blocks-space-resources.md	both		none	none:block-present-no-identifier
hausmann-2005-growth-accelerations.md	both	10.1007/s10887-005-4712-0	doi	high
hayne-2020-micro-cold-traps.md	lsei	arxiv.org/abs/2005.05369	url	medium
hein-2018-asteroid-mining-technoeconomic.md	both	arxiv.org/abs/1810.03836	url	low:url-unlabelled
henderson-2008-myth-of-miti.md	both	econlib.org/library/enc/japanandthemythofmiti.html	url	medium
highfill-2024-us-space-economy-statistics.md	both		none	none:block-present-no-identifier
horvath-2022-lunar-pits-caves-thermal.md	lsei	10.1029/2022gl099710	doi	medium:doi-unlabelled
hoshi-1991-corporate-structure-liquidity-investment.md	intake	10.2307/2937905	doi	medium:doi-unlabelled
ieee-2022-paper-sh-tcs-architecture-and-technical-challenges-update.md	both	ntrs.nasa.gov/citations/20210026557	url	medium
imf-1963-appraisal-japan-double-income.md	both	elibrary.imf.org/view/journals/024/1963/001/article-a004-en.xml	url	medium
ishimatsu-2016-multicommodity-logistics-network.md	lsei	10.2514/1.a33235	doi	medium:doi-unlabelled
isnps-tech-report-103.md	both	isnps.unm.edu/reports/isnps_tech_report_103.pdf	url	medium
isnps-tech-report-97.md	both	isnps.unm.edu/reports/isnps_tech_report_97.pdf	url	medium
jones-1995-rd-based-growth.md	both	10.1086/262002	doi	high
jones-2019-cislunar-isru-breakeven.md	lsei	10.2514/6.2019-1372	doi	medium:doi-unlabelled
jones-2020-lunar-propellant-breakeven.md	lsei		none	none:block-present-no-identifier
jones-superheavylift-final20260614.md	both	csps.aerospace.org/papers/super-heavy-lift-launch-unlocking-future-space	url	low:url-unlabelled
jorgenson-2005-industry-origins-japan.md	intake	10.1016/j.jjie.2005.05.002	doi	high
just-2020-regolith-excavation-review.md	lsei	10.1016/j.pss.2019.104746	doi	medium:doi-unlabelled
kawagoe-1999-japan-land-reform.md	intake	10.1596/1813-9450-2111	doi	medium:doi-unlabelled
kerslake-2007-lunar-surface-power-transfer.md	lsei		none	none:host-only-url:gltrs.grc.nasa.gov
kiewiet-2026-luwex-water-extraction.md	lsei	10.1016/j.asr.2026.01.041	doi	medium:doi-unlabelled
kiyota-2005-foreign-technology-acquisition.md	intake	10.1016/j.ijindorg.2005.03.004	doi	high
kiyota-2013-import-quota-removal.md	intake	ier.hit-u.ac.jp/primced/e-index.html	url	medium
kleinhenz-2017-mars-ascent-vehicle-propellant.md	lsei	10.2514/6.2017-0423	doi	medium:doi-unlabelled
kleinhenz-2020-polar-water-case-studies.md	lsei		none	none:block-present-no-identifier
