# merge_plan.tsv -- Step 2 Wave 1. The Engineer. The disposition table the Wave 2 merge executes from.
# One row per union key. Block 1 first (uncontested, stable by construction), then Block 2 (contested).
# Generated: node tools/merge_identity.js --plan lsei/literature _intake/japanese-miracle/lit \
#              cr_scratch/step2_engineer_taxonomy.md _intake/superseded-duplicates cr_scratch/merge_plan.tsv
# THE MERGE GLOB IS *.md, NEVER *. lit/ holds 115 non-.md siblings and a bare * sweeps them into retrieval.
# COLUMN COUNT IS 18. It was 17 in Wave 1; column 6 split in two. Do not difference the counts.
# byte_source names WHICH CORPUS COPY SUPPLIES THE BYTES, and nothing else.
#   sole-lsei | sole-intake | both-identical | lsei-primary | intake-primary
#   intake-primary is admitted with zero members today: a closed set missing a member routes an
#   author into the wrong member silently.
# pair_primary names WHICH MEMBER OF A SAME-SOURCE PAIR IS THE ONE THAT LANDS.
#   primary | secondary | unadjudicated | n/a   -- n/a for the 160 rows in no pair.
#   THE SECONDARY DOES NOT LAND. The author ruled 2026-08-28: when two summaries are the same
#   source, pick one. In order: a decision recorded in step0_dedup_decisions.md wins; else if the
#   two are byte-identical take either; else take the larger file. The rule that fired is in basis.
# EVERY VALUE IN disposition IS A LANDING MODE, NOT A GATE. No file is withheld from the corpus
#   for a metadata reason (author, 2026-08-28). A HOLD-* label says HOW a row lands. The only rows
#   that do not land are the 8 pair secondaries, and they are named by pair_primary=secondary.
# legend disposition = LIFT LIFT-IDENTICAL LIFT-LSEI-SCRUB LIFT-LSEI-STEP0 HOLD-NOID HOLD-PAIR HOLD-FALSEMERGE
# legend byte_source = sole-lsei sole-intake both-identical lsei-primary intake-primary
# legend pair_primary = primary secondary unadjudicated n/a
# review_owner routes the two reviewers and is NOT the field partition. The FIELD split is 8 lunar /
#   3 economics, decided by between-field cosine; the REVIEW split is 7 / 4, decided by who can judge
#   a placement. space-economy-and-markets is field=lunar and review=manager-econ, deliberately; see
#   step2_engineer_taxonomy.md section 2.4. Each reviewer cuts their own half on column 11 alone.
# pair_role is the same-source-pair role: dup-member, or empty. Primary designation inside a pair is
#   deferred to the DUP-xx register row. This table never adjudicates a pair.
# dedup_key levels, oracle/NAMING.md section 7 as amended at 2.20:
#   L1      DOI, not a 10.13140/ mirror mint (clause b)
#   L2A     publisher article URL, must carry a path (clause a)
#   L2B     agency or grant number printed in the artifact (clause d), hand-read, declared in this file
#   L3      (identity, year, first six title words) READ FROM THE ## Citation BLOCK -- section 7 normative
#   L3-NAME same tuple derived from the filename. Fallback ONLY where there is no block to read.
#   L0      no key derivable at any level.
#   THE WAVE-1 VARIANCE IS CLOSED. L3 was filename-derived (clusters.js RULE E); section 7 now says
#   read the citation block, and it does. L3-PENDING no longer appears.
#   CLAUSE (c): a level-2A or 2B string held by 3+ union keys is disqualified as a key for ALL of
#   its holders and each falls to the next level. A group of exactly 2 confirms a pair. Read
#   literally, "more than one" would make every 2A/2B confirmation self-refuting; section 7 own
#   worked example (sowers-2019, grant printed in BOTH members) forces the group-of-2 reading.
# rev is append-only. A row whose disposition, byte_source, target_folder or LANDING OUTCOME changes
#   write bumps rev and the reason leads its basis.
# read-digest sha256 over sorted path\tsize\tmtimeMs = 3cb8cc59509e77c39cd87fb45c2905c5ea9ca7d0754a640ebd62ccc8517a85c1
# files read = 278
# inputs = lsei/literature  _intake/japanese-miracle/lit  cr_scratch/step2_engineer_taxonomy.md  _intake/superseded-duplicates
# rows = 176  block1 = 117  block2 = 59
# disposition tally = {"LIFT-LSEI-SCRUB":5,"LIFT":52,"LIFT-IDENTICAL":65,"LIFT-LSEI-STEP0":3,"HOLD-NOID":34,"HOLD-PAIR":16,"HOLD-FALSEMERGE":1}
# churn = block2 rows with rev>1 / block2 rows = 21 / 59 = 35.59%
# id_in_source=NO (citation repair owed at Wave 2) = 1: azami-2024-lunar-manufacturing-review.md
# longest target_path = 99 chars, repo-relative; NAMING.md section 8 ceiling is 259 ABSOLUTE
block	key	source_path	target_path	disposition	byte_source	pair_primary	pair_id	pair_role	target_folder	field_label	review_owner	also	dedup_key	identifier	id_in_source	rev	basis
H	rows=176	-	-	HOLD-FALSEMERGE HOLD-NOID HOLD-PAIR LIFT LIFT-IDENTICAL LIFT-LSEI-SCRUB LIFT-LSEI-STEP0	-	-	-	-	-	-	-	-	-	-	-	-	self-declaration. 18 columns, 176 D rows, 7 dispositions in the closed set. Inserted by the orchestrator at the Wave 2 close under MRG-1/MRG-2; the declaration was previously in a comment and a comment is parsed by nothing.
1	acemoglu-2020-robots-and-jobs.md	_intake/japanese-miracle/lit/acemoglu-2020-robots-and-jobs.md	literature/organization-and-production-systems/acemoglu-2020-robots-and-jobs.md	LIFT	sole-intake	n/a			organization-and-production-systems	economics	manager-econ	growth-theory	L1|10.1086/705716	10.1086/705716	yes	1	intake-only key, identifier confirmed at level 1.
1	adilov-2022-launch-cost-reductions.md	lsei/literature/logistics-and-delivery/adilov-2022-launch-cost-reductions.md	literature/logistics-and-delivery/adilov-2022-launch-cost-reductions.md	LIFT-IDENTICAL	both-identical	n/a			logistics-and-delivery	lunar	space-resources	space-economy-and-markets	L2A|accessecon.com/pubs/eb/2022/volume42/eb-22-v42-i3-p130.pdf	accessecon.com/pubs/eb/2022/volume42/eb-22-v42-i3-p130.pdf	yes	1	both corpora hold this key and the bytes are equal (sha256); identifier confirmed at level 2. Nothing to adjudicate.
1	aghion-1992-model-growth-creative-destruction.md	lsei/literature/growth-and-industrial-theory/aghion-1992-model-growth-creative-destruction.md	literature/growth-theory/aghion-1992-model-growth-creative-destruction.md	LIFT-IDENTICAL	both-identical	n/a			growth-theory	economics	manager-econ		L1|10.2307/2951599	10.2307/2951599	yes	1	both corpora hold this key and the bytes are equal (sha256); identifier confirmed at level 1. Nothing to adjudicate.
1	andrews-hanna-2025-spa-magma-ocean.md	lsei/literature/lunar-ice-and-geology/andrews-hanna-2025-spa-magma-ocean.md	literature/lunar-ice-and-geology/andrews-hanna-2025-spa-magma-ocean.md	LIFT-IDENTICAL	both-identical	n/a			lunar-ice-and-geology	lunar	space-resources		L1|10.1038/s41586-025-09582-y	10.1038/s41586-025-09582-y	yes	1	both corpora hold this key and the bytes are equal (sha256); identifier confirmed at level 1. Nothing to adjudicate.
1	aoki-2009-government-tfp-growth.md	_intake/japanese-miracle/lit/aoki-2009-government-tfp-growth.md	literature/development-and-industrial-policy/aoki-2009-government-tfp-growth.md	LIFT	sole-intake	n/a			development-and-industrial-policy	economics	manager-econ	growth-theory	L2A|ideas.repec.org/p/tky/fseres/2009cf622.html	ideas.repec.org/p/tky/fseres/2009cf622.html	yes	1	intake-only key, identifier confirmed at level 2.
1	barnett-2025-regolith-consolidation-water-ice.md	lsei/literature/isru-processing/barnett-2025-regolith-consolidation-water-ice.md	literature/isru-processing/barnett-2025-regolith-consolidation-water-ice.md	LIFT	sole-lsei	n/a			isru-processing	lunar	space-resources	lunar-ice-and-geology	L1|10.52202/083095-0024	10.52202/083095-0024	yes	1	lsei-only key, identifier confirmed at level 1.
1	barnett-2025-volatile-exposure-limits.md	lsei/literature/isru-processing/barnett-2025-volatile-exposure-limits.md	literature/isru-processing/barnett-2025-volatile-exposure-limits.md	LIFT	sole-lsei	n/a			isru-processing	lunar	space-resources	lunar-ice-and-geology	L1|10.52202/083095-0025	10.52202/083095-0025	yes	1	lsei-only key, identifier confirmed at level 1.
1	beason-1996-targeting-japan.md	_intake/japanese-miracle/lit/beason-1996-targeting-japan.md	literature/development-and-industrial-policy/beason-1996-targeting-japan.md	LIFT	sole-intake	n/a			development-and-industrial-policy	economics	manager-econ		L2A|jstor.org/stable/2109930	jstor.org/stable/2109930	yes	1	intake-only key, identifier confirmed at level 2.
1	beckley-2018-americas-role-japan-miracle.md	_intake/japanese-miracle/lit/beckley-2018-americas-role-japan-miracle.md	literature/development-and-industrial-policy/beckley-2018-americas-role-japan-miracle.md	LIFT	sole-intake	n/a			development-and-industrial-policy	economics	manager-econ		L1|10.1017/jea.2017.24	10.1017/jea.2017.24	yes	1	intake-only key, identifier confirmed at level 1.
