#	oracle/acceptance/labelled_questions.tsv -- the labelled question set retrieval is tuned against. Sub-step 3.6.
#	WHAT THIS IS. A test fixture, not documentation. Every row is a question with an outcome that was
#	decided BEFORE the threshold was, so that 3.7's confirmation threshold is set by measurement
#	rather than by feel. Re-tuning a threshold without one of these is guessing.
#	COLUMNS
#	  id       stable. L=lunar, E=economics, X=cross-field, N=negative.
#	  kind     lunar | economics | cross | negative. All three question kinds are covered plus the
#	           negatives, which are what stop a tuner from driving the threshold to zero.
#	  split    tune | holdout. HOLDOUT ROWS WERE NOT LOOKED AT WHILE TUNING. They are scored once,
#	           at the end, against the threshold the tune split chose. A threshold that scores well
#	           on a fixture set its own author also tuned on proves nothing; the holdout is the only
#	           part of this file that can embarrass it.
#	  expect   top       -- target must be the single best (top-ranked confirmed) result
#	           confirmed -- target must appear anywhere in confirmedSet
#	           both      -- every path in target (semicolon-separated) must be in confirmedSet
#	           none      -- confirmedSet must be EMPTY. The corpus does not answer this.
#	           absent    -- target must NOT be in confirmedSet
#	  target   literature/-relative path(s), semicolon-separated. Empty for expect=none.
#	  question the query text, passed verbatim to searchLiterature().
#	  source   where the question came from. Questions inherited from another seat's document are
#	           worth more than questions invented against a filename listing I had just read.
#	  note     what the row is actually testing.
id	kind	split	expect	target	question	source	note
L-01	lunar	tune	confirmed	lunar-ice-and-geology/litvak-2024-lend-cabeus-water-ice.md	How much water ice is in Cabeus crater?	1.11 FIX-7	The grade-question trap. "ice" is also an app input rail, so an APP verdict here is a failure; retrieval must still find the geology.
L-02	lunar	tune	confirmed	isru-processing/sibille-2012-joule-heated-mre.md	What is the technology readiness level of molten regolith electrolysis?	1.11 FIX-8	App computes nothing here. Pure literature retrieval.
L-03	lunar	tune	top	power-and-thermal/csank-2022-powering-the-moon.md	What does Csank 2022 say about AC versus DC lunar microgrid transmission?	step0_engineer_corpus_merge part 7	One of part 7's four measured queries. At 190 files this tied against a duplicate issue and best fell to alphabetical order. The duplicate is off the merged shelf; this row pins that the survivor wins on merit.
L-04	lunar	holdout	confirmed	isru-processing/wittenberg-1992-he3-resources-review.md	How much helium-3 is present in the lunar regolith and is extraction feasible?	lsei literature_search.js self-test fixture	The prototype's own planted-fixture question, run against the real shelf.
L-05	lunar	tune	confirmed	lunar-ice-and-geology/paige-2010-diviner-cold-trap-temperatures.md	What temperatures did Diviner measure in the lunar cold traps?	SR question surface tier B	Author-anchored lunar question with a strong topic token.
L-06	lunar	holdout	confirmed	programme-primaries/nasa-2025-fission-surface-power-directive.md	What does the NASA fission surface power directive require for the Moon?	SR question surface, programme primaries	Programme-document retrieval, no author-year filename to anchor on.
L-07	lunar	tune	confirmed	power-and-thermal/speyerer-2013-persistently-illuminated-regions.md	Which regions of the lunar south pole are persistently illuminated?	SR question surface tier B	Two files address illumination; only one is named. Tests that a near-miss sibling does not displace it.
L-08	lunar	tune	confirmed	logistics-and-delivery/jones-2020-lunar-propellant-breakeven.md	What is the breakeven condition for lunar propellant against launched propellant?	SR question surface, app boundary	Economics-flavoured vocabulary on a lunar file. A pooled IDF table underweights exactly this.
L-09	lunar	holdout	confirmed	space-law-and-governance/un-1967-outer-space-treaty.md	Who owns lunar resources under the Outer Space Treaty?	1.11 FIX-9	FIX-9 is a REFUSE at the router because the app excludes it. Retrieval must still return the treaty; the refusal is the router's, not retrieval's.
L-10	lunar	tune	confirmed	power-and-thermal/poston-2020-krusty-reactor-design.md	What did the KRUSTY test demonstrate about small fission reactor design?	SR question surface tier B	Acronym token. Rare within the lunar field, and its weight should reflect that.
L-11	lunar	holdout	confirmed	isru-processing/liu-2025-microwave-sintering-lunar-regolith-simulants.md	Can microwave sintering consolidate lunar regolith simulant into a structural material?	SR question surface, ISRU processing	Long topic-token query with no author anchor at all.
L-12	lunar	tune	both	isru-processing/metzger-2020-aqua-factorem.md;isru-processing/metzger-2021-aqua-factorem.md	What does the Aqua Factorem approach propose for extracting lunar ice?	step2 identity work, surviving duplicate pair	A real two-file cluster on the merged shelf. Both members or neither; a single winner here is the part 7 failure recurring.
E-01	economics	tune	confirmed	growth-theory/jorgenson-2005-industry-origins-japan.md	How much of Japan's 1960 to 1973 growth was capital accumulation and how much was productivity?	1.11 FIX-11	The field label must route this to the economics vocabulary. No number is asserted, only retrieval.
E-02	economics	tune	confirmed	development-and-industrial-policy/kiyota-2005-foreign-technology-acquisition.md	Did foreign technology licensing raise total factor productivity in Japanese firms?	1.11 FIX-13	Retrieval and grade only.
E-03	economics	tune	both	development-and-industrial-policy/henderson-2008-myth-of-miti.md;development-and-industrial-policy/beason-1996-targeting-japan.md	Is the evidence that MITI targeting worked, or is the myth of MITI critique right?	step0_engineer_corpus_merge part 7	THE ROW THAT MOTIVATED THE RE-TUNE. Both sides ranked top at 190 files and BOTH were gated out by frac >= 0.45. A question naming both sides of a contested pair must not refuse.
E-04	economics	holdout	confirmed	development-and-industrial-policy/kawagoe-1999-japan-land-reform.md	What did the postwar Japanese land reform do to tenancy and farm productivity?	Growth economist question surface 1.6	Contingency and enabling conditions.
E-05	economics	tune	confirmed	growth-theory/otsu-2007-neoclassical-postwar-japan.md	How fast has a real economy ever deepened its capital stock?	1.11 FIX-14	Vocabulary that is near-stopword in the economics half. Field scoping should down-weight it correctly rather than treat it as informative.
E-06	economics	tune	both	development-and-industrial-policy/murphy-1989-industrialization-big-push.md;development-and-industrial-policy/rosenstein-rodan-1943-problems-industrialisation.md	What is the big push argument for coordinated industrialisation?	Growth economist question surface 1.4	Two files, one argument, forty-six years apart. Both or neither.
