# step2_factchecker_currency.tsv -- Step 2 Wave 2. The Fact-Checker. The 2.7 stated_as_of patch table.
# Keyed on merge_plan.tsv column 2 (key), NOT target_path. 25 rows selected from 176; 151 rejected.
# date_authority is a closed set of three: printed_in_source | derived_from_citation | unknown
#   printed_in_source      -- I opened the source PDF and read the date off it, OR the summary NAMES
#                             the printed feature the date sits on (signature block, title-slide
#                             banner, revision table, byline). 14 rows.
#   derived_from_citation  -- the date exists only in the summary's Citation/Metadata block and no
#                             printed feature is named. NOT a pass; it is "needs the PDF". 7 rows.
#   unknown                -- no date, or the only corroboration is a filename / file metadata. 4 rows.
# stated_as_of granularity is the granularity the source prints. Nothing here is inferred from an
#   mtime or a filename. Where a source prints both a data year and a publication/extraction date,
#   stated_as_of carries the publication/extraction date and basis records the data year.
# read-digest sha256 over sorted path\tsize\tmtimeMs = 3714f11f69043da3 over 189 files
#   (176 merge_plan source_paths + merge_plan.tsv + the 12 openable paired PDFs). This file and
#   step2_factchecker_currency.md are NOT counted in the 189.
key	stated_as_of	date_authority	basis
moon-base-architecture-users-guide.md	2026-04	derived_from_citation	Citation block states outright that "The April 2026 publication date is inferred from the NP-YYYY-MM series convention embedded in the report number and no explicit publication date is printed in the document." Report number NP-2026-04-6806-HQ is printed verbatim on the back cover, PDF p.16 of 16 (citation verification 2026-08-06). A convention-decoded date, not a printed one. The March 24, 2026 "Ignition" announcement is printed in the body and is a content floor.
dr-michael-nayak-luna-10.md	2024-04-25	derived_from_citation	Citation gives "(2024, April 25) ... LSIC Spring Meeting"; Metadata repeats "Prepared for the LSIC Spring Meeting, 25 April 2024". No printed slide feature is named as the carrier. Metadata also carries "PDF generated 2024-05-07 (Acrobat PDFMaker)" which is FILE METADATA and is correctly excluded here. No paired PDF on disk.
lsic-2026-newsletter-august.md	2026-08	derived_from_citation	Citation "(2026, August) ... (Vol. 7, Issue 4)"; Metadata "Publication date: August 2026". No masthead or cover feature is named as the carrier. No paired PDF on disk. Content floor: an Aug. 20 telecon is announced as upcoming.
lsic-newsletter-2026-june-final.md	2026-06	derived_from_citation	Citation "(2026, June) ... (Vol. 7, Issue 3)"; Metadata "Publication date: June 2026". No masthead feature named. No paired PDF on disk. Content floor: a June 24/25 meeting is announced as upcoming.
nasa-2025-fission-surface-power-directive.md	2025-08-04	printed_in_source	Metadata names the carrier: "Publication/signature date: August 4, 2025", a signed internal memorandum from the Acting Administrator (Sean Duffy). Page attributions in this file were re-audited 2026-08-22 against the source PDF's three extracted pages.
nasa-2025-moon-to-mars-architecture-add-revc.md	2025-12-12	printed_in_source	Metadata names the carrier: the document's revision history -- "Revision C released 12 December 2025 (initial release 18 April 2023; annual updates through Revisions A, A.1, B, B.1, and C)". See the note on nasa-moon-to-mars-doc.md: the same source's revision table is internally inconsistent (2025-12-11 vs 12/12/2025) and the pair must be stamped identically.
nasa-data-gaps-acr25-wp-data-gaps-v3.md	2025	derived_from_citation	Citation gives "(2025)" and a bracketed descriptor "[2025 Moon to Mars Architecture Concept Review white paper]"; brackets mark it as the summariser's description, not quoted source text. No printed date feature named. Excerpted from ADD Rev C Appendix E, so 2025-12-12 is the plausible true value, but I do not stamp a value the file does not carry.
nasa-moon-to-mars-doc.md	2025-12-12	printed_in_source	Metadata names the carrier and reports the defect: "the document's own revision table gives two dates, 2025-12-11 and 12/12/2025; both are noted here since the source is internally inconsistent on this point." Stamped 2025-12-12 to agree with its HOLD-PAIR partner nasa-2025-moon-to-mars-architecture-add-revc.md; the one-day conflict is a property of the source and must be carried into the Provenance block, not silently resolved.
sanders-2025-nasa-isru-progress-review.md	2025-05-19	printed_in_source	OPENED. pdftotext -layout over _intake/japanese-miracle/lit/sanders-2025-nasa-isru-progress-review.pdf, title slide, prints "May 19, 2025" (extraction line 12) beside the mangled title "2019 to 2P0R25ESENTATION TITLE". Luxembourg Space Resources Week.
sanders-2025-nasa-lunar-isru-progress-review.md	2025-05-19	printed_in_source	Same source as sanders-2025-nasa-isru-progress-review.md (HOLD-PAIR). Date confirmed by opening that pair's PDF title slide, not by this file's citation alone. Both rows must be stamped identically.
nasa-clps-delivery-timeline.md	unknown	unknown	OPENED. pdftotext -layout over the full PDF returns no publication, version or revision date anywhere; the only dates printed are mission launch/landing dates. Citation correctly says "(n.d.)". Content floor is the latest printed event, "Landed Mar. 6, 2025" (IM-2), which is a floor and NOT a stamp. NOTE: this row is HOLD-NOID / dedup_key L0|none and may not land at all under oracle/NAMING.md section 7; the row is written anyway per brief.
nasa-clps-procurement-vignette.md	unknown	unknown	OPENED. pdftotext -layout over both pages returns no date of any kind. The vignette asserts a live programme state with no currency stamp at all -- "There are currently a total of fourteen CLPS contract holders" and "$2.6 billion through November 2028" -- which is the exact hazard 2.7 exists to catch. Inferential floor only: Peregrine is described in future tense ("which will launch"), placing it before 2024-01-08, and the "first woman and first person of color" framing is pre-2025. I do not stamp an inference.
nasa-lunar-power-strategy-2025.md	2025-12-12	derived_from_citation	Metadata line reads "dated 2025-12-12" with no printed feature named as the carrier, and the same block dissects the printed title block at length without ever quoting a printed date. NTRS accession 20250010948; an NTRS record date is not a printed-in-source date. The abstract's "as of August 2025" (Duffy nuclear-power announcement) is a content event, not the document date. No paired PDF on disk.
nasa-2023-card-carbothermal-reduction.md	2023	printed_in_source	Metadata names the carrier: "Publication date: 2023, per the title-slide banner ('CaRD Project Status 2023')". CARRIES A PRINTED CONFLICT the summariser already flagged: "every slide footer, however, reads 'GCD FY18 Mid Year Review,' a leftover template footer that conflicts with the 2023 date." Stamp 2023; carry the conflict into Provenance.
payload-research-starship-cost.md	2024-03-20	printed_in_source	Citation names the printed carrier: "Byline date March 20, 2024, keyed to the IFT-3 flight of the preceding week", and the abstract independently references "the week before the March 20, 2024 byline". A trade-press byline is printed on the article face. No paired PDF on disk.
