# step2_manager_depth.tsv -- sub-step 2.8 patch table. The Manager (economics prompt), Step 2 Wave 2.
# provenance_depth for every merge_plan.tsv row whose column 11 review_owner is manager-econ.
# Applied by The Engineer onto the summary's ## Provenance block when the tree lands. Values are
# the closed set of GE-2 / integration 2.8: primary | via_review | via_tertiary.
#
# KEYED ON `key` = column 2 of cr_scratch/merge_plan.tsv, the normalized union key, which is the
# merge key and stable by construction. NOT on target_path, which the folder reviewers can move.
#
# THE RULE APPLIED, stated so a reviewer can disagree with the rule rather than with 70 rows:
#   primary       the summarized document makes its own contribution -- measurement, model, design,
#                 or first-hand account -- and the claims cited from it are the document's own.
#   via_review    the document's FUNCTION is to report or assess work published elsewhere: a book
#                 review, a review or survey article, or an overview whose headline figures are
#                 quoted from prior studies. The corpus's route to the finding runs through it.
#   via_tertiary  a reference work, textbook, encyclopedia entry, or compiled statistical table that
#                 reports figures produced elsewhere.
# The test that separates primary from via_review on a paper with no new data: DOES THE DOCUMENT
# PRODUCE ITS OWN NUMBERS. ehricke-1974 states "no new empirical data are collected" and is primary,
# because the order-of-magnitude estimates are its own; downing-2005 states "presents no new data,
# drawing instead on ... cited prior work" and is via_review, because the content is other people's.
#
# Where the file's own ## Abstract or ## Citation states its type in its own words, the basis quotes
# it. Where it does not, the basis says the value is a judgement and names what would settle it.
#
# SCOPE. 44 rows carry field_label=economics and are 2.8's own population. 26 carry field_label=lunar
# with review_owner=manager-econ -- the deliberate 7/4-versus-8/3 split -- and their basis cells lead
# with "field=lunar;" so The Engineer can apply the economics 44 alone if 2.8's scope is read off the
# FIELD rather than off the REVIEWER. They are filled either way; see step2_manager_econ_w2.md item 3.
#
# tally = primary 54 | via_review 7 | via_tertiary 9 | n/a 0
# rows = 70   economics 44   lunar 26
# read-digest sha256 over sorted path\tsize\tmtimeMs of the 70 files read = 6164c8dcdd6ea459
# files read = 70, at cr_scratch/merge_plan.tsv column 3, cwd repository root, 55 characters
# merge_plan.tsv read at digest 9f98ff60509c9d43, size 86887
# NOT COMPARABLE with any figure carrying a different digest, per standing clause 3.
key	provenance_depth	basis
acemoglu-2020-robots-and-jobs.md	primary	Citation: NBER WP 23285, the authors' own study; the note on version summarized says the summary was produced from the working-paper PDF only.
aghion-1992-model-growth-creative-destruction.md	primary	Citation: Econometrica 60(2), the original creative-destruction model.
aoki-2009-government-tfp-growth.md	primary	Citation: CIRJE-F-622, the authors' own TFP estimation for Japan's rapid-growth era. Mentions Denison and Chung only in a bibliographic list, not as a source of figures.
barro-2004-economic-growth-textbook.md	via_tertiary	Citation: "graduate textbook", MIT Press. Abstract calls itself "a scoped reference extract, not a summary of the full book", used for two closed-form results.
bea-depreciation-rates.md	via_tertiary	Citation states the depreciation patterns are "primarily derived by Barbara M. Fraumeni from estimates made by Charles Hulten and Frank Wykoff" and names Fraumeni 1997 and Hulten-Wykoff 1979/1981 as the primary underlying sources, none of which is on disk. JUDGEMENT: the rates are BEA's published schedule of record, so a reviewer could call this primary; what settles it is whether 2.8 grades the PUBLISHER of a number or its MEASUREMENT. This corpus's only route to delta.
beason-1996-targeting-japan.md	primary	Citation: Review of Economics and Statistics 78(2), the authors' own targeting estimation.
beckley-2018-americas-role-japan-miracle.md	primary	Citation: Journal of East Asian Studies 18(1), the authors' own study.
caballero-2008-zombie-lending-japan.md	primary	Citation: AER 98(5); the on-disk copy is NBER WP 12129, the same authors' own text, cross-checked against the published substance in the citation note.
christiano-1989-japan-saving-rate.md	primary	Citation: Federal Reserve Bank of Minneapolis Quarterly Review 13(2), the author's own reconstruction-hypothesis analysis.
deming-1967-japan-quality-control.md	primary	Citation: Industrial Quality Control 24(2); a first-hand account by the participant. Draws in part on the author's own 1966 Sankhya piece, which is the same hand.
dingman-1993-dagger-and-gift-korean-war.md	primary	Citation: Journal of American-East Asian Relations 2(1), the author's own archival history.
esri-2016-japan-high-growth-economic-plans.md	primary	Citation: ESRI Research Note 27 by two named ESRI Senior Research Fellows. Abstract: "The authors frame the material as a development-economics case study" -- an institutional account by the agency's own economists, not a report of others' findings.
esteban-pretel-2009-postwar-japan-policy.md	primary	Citation: RIETI DP 09-E-001, the authors' own structural-change model; the citation note records that the RIETI paper is the document actually read.
