path	primary	also	field
literature/organization-and-production-systems/acemoglu-2020-robots-and-jobs.md	organization-and-production-systems	growth-theory	economics
literature/logistics-and-delivery/adilov-2022-launch-cost-reductions.md	logistics-and-delivery	space-economy-and-markets	lunar
literature/growth-theory/aghion-1992-model-growth-creative-destruction.md	growth-theory	none	economics
literature/lunar-ice-and-geology/andrews-hanna-2025-spa-magma-ocean.md	lunar-ice-and-geology	none	lunar
literature/development-and-industrial-policy/aoki-2009-government-tfp-growth.md	development-and-industrial-policy	growth-theory	economics
literature/isru-processing/barnett-2025-regolith-consolidation-water-ice.md	isru-processing	lunar-ice-and-geology	lunar
literature/isru-processing/barnett-2025-volatile-exposure-limits.md	isru-processing	lunar-ice-and-geology	lunar
literature/development-and-industrial-policy/beason-1996-targeting-japan.md	development-and-industrial-policy	none	economics
literature/development-and-industrial-policy/beckley-2018-americas-role-japan-miracle.md	development-and-industrial-policy	none	economics
literature/power-and-thermal/belbin-2024-vsat-grd-demonstrator.md	power-and-thermal	none	lunar
literature/space-economy-and-markets/benaroya-1998-lunar-development-issues.md	space-economy-and-markets	programme-primaries	lunar
literature/space-law-and-governance/blount-2016-us-commercial-space-launch-act.md	space-law-and-governance	space-economy-and-markets	lunar
literature/development-and-industrial-policy/caballero-2008-zombie-lending-japan.md	development-and-industrial-policy	growth-theory	economics
literature/lunar-ice-and-geology/cannon-2020-lunar-ice-geologic-model.md	lunar-ice-and-geology	isru-processing	lunar
literature/space-economy-and-markets/castillo-rogez-2022-ceres-habitability.md	space-economy-and-markets	lunar-ice-and-geology	lunar
literature/self-replication-and-automation/chirikjian-2002-self-replicating-robots-lunar.md	self-replication-and-automation	none	lunar
literature/self-replication-and-automation/chirikjian-2022-entropy-symmetry-self-replication.md	self-replication-and-automation	none	lunar
literature/power-and-thermal/colozza-2020-lunar-base-power-comparison.md	power-and-thermal	none	lunar
literature/space-economy-and-markets/colvin-2020-lunar-cislunar-demand.md	space-economy-and-markets	logistics-and-delivery	lunar
literature/lunar-ice-and-geology/crawford-2015-lunar-resources-review.md	lunar-ice-and-geology	isru-processing	lunar
literature/development-and-industrial-policy/dingman-1993-dagger-and-gift-korean-war.md	development-and-industrial-policy	none	economics
literature/space-economy-and-markets/downing-2005-sustainable-lunar-economy.md	space-economy-and-markets	none	lunar
literature/space-economy-and-markets/ehricke-1974-lunar-industries.md	space-economy-and-markets	none	lunar
literature/space-economy-and-markets/ehricke-1981-selenosphere-energy.md	space-economy-and-markets	none	lunar
literature/space-economy-and-markets/ehricke-1981-socioeconomic-lunar-evaluation.md	space-economy-and-markets	none	lunar
literature/space-economy-and-markets/ehricke-1984-selenospheric-economics.md	space-economy-and-markets	none	lunar
literature/space-law-and-governance/elvis-2016-peaks-eternal-light.md	space-law-and-governance	power-and-thermal	lunar
literature/development-and-industrial-policy/esteban-pretel-2009-postwar-japan-policy.md	development-and-industrial-policy	growth-theory	economics
literature/organization-and-production-systems/flyvbjerg-2014-what-you-should-know-megaprojects.md	organization-and-production-systems	programme-primaries	economics
literature/self-replication-and-automation/freitas-1980-advanced-automation-space-missions.md	self-replication-and-automation	isru-processing	lunar
literature/space-economy-and-markets/gao-2011-neutron-detectors-helium3.md	space-economy-and-markets	isru-processing	lunar
literature/space-economy-and-markets/gdp.md	space-economy-and-markets	growth-theory	lunar
literature/space-economy-and-markets/giachino-2021-space-tourism-frontier.md	space-economy-and-markets	none	lunar
literature/power-and-thermal/glaser-2014-south-pole-illumination.md	power-and-thermal	lunar-ice-and-geology	lunar
literature/power-and-thermal/gordon-2001-lunar-dc-transmission.md	power-and-thermal	none	lunar
literature/isru-processing/gott-2024-card-gas-analysis-subsystem.md	isru-processing	none	lunar
literature/lunar-ice-and-geology/hagerty-2011-spa-basalt-pond-thorium.md	lunar-ice-and-geology	none	lunar
literature/growth-theory/hausmann-2005-growth-accelerations.md	growth-theory	development-and-industrial-policy	economics
literature/lunar-ice-and-geology/hayne-2020-micro-cold-traps.md	lunar-ice-and-geology	none	lunar
literature/space-economy-and-markets/hein-2018-asteroid-mining-technoeconomic.md	space-economy-and-markets	isru-processing	lunar
literature/development-and-industrial-policy/henderson-2008-myth-of-miti.md	development-and-industrial-policy	none	economics
literature/lunar-ice-and-geology/horvath-2022-lunar-pits-caves-thermal.md	lunar-ice-and-geology	power-and-thermal	lunar
literature/development-and-industrial-policy/hoshi-1991-corporate-structure-liquidity-investment.md	development-and-industrial-policy	growth-theory	economics
literature/development-and-industrial-policy/imf-1963-appraisal-japan-double-income.md	development-and-industrial-policy	growth-theory	economics
literature/logistics-and-delivery/ishimatsu-2016-multicommodity-logistics-network.md	logistics-and-delivery	none	lunar
literature/power-and-thermal/isnps-tech-report-103.md	power-and-thermal	none	lunar
literature/power-and-thermal/isnps-tech-report-97.md	power-and-thermal	none	lunar
literature/growth-theory/jones-1995-rd-based-growth.md	growth-theory	none	economics
literature/logistics-and-delivery/jones-2019-cislunar-isru-breakeven.md	logistics-and-delivery	space-economy-and-markets	lunar
literature/logistics-and-delivery/jones-superheavylift-final20260614.md	logistics-and-delivery	space-economy-and-markets	lunar
literature/growth-theory/jorgenson-2005-industry-origins-japan.md	growth-theory	development-and-industrial-policy	economics
literature/isru-processing/just-2020-regolith-excavation-review.md	isru-processing	none	lunar
literature/development-and-industrial-policy/kawagoe-1999-japan-land-reform.md	development-and-industrial-policy	none	economics
literature/isru-processing/kiewiet-2026-luwex-water-extraction.md	isru-processing	none	lunar
literature/development-and-industrial-policy/kiyota-2005-foreign-technology-acquisition.md	development-and-industrial-policy	none	economics
literature/development-and-industrial-policy/kiyota-2013-import-quota-removal.md	development-and-industrial-policy	none	economics
literature/isru-processing/kleinhenz-2017-mars-ascent-vehicle-propellant.md	isru-processing	none	lunar
literature/isru-processing/kokkinis-2024-automated-drilling-mining-review.md	isru-processing	self-replication-and-automation	lunar
literature/lunar-ice-and-geology/lawrence-2003-small-area-thorium.md	lunar-ice-and-geology	none	lunar
literature/self-replication-and-automation/lee-2008-robotic-self-replication-complexity.md	self-replication-and-automation	none	lunar
literature/isru-processing/leger-2025-energy-oxygen-moon.md	isru-processing	none	lunar
literature/lunar-ice-and-geology/levin-2025-lunar-crustal-kreep-distribution.md	lunar-ice-and-geology	none	lunar
literature/development-and-industrial-policy/lewis-1954-unlimited-supplies-labour.md	development-and-industrial-policy	growth-theory	economics
literature/lunar-ice-and-geology/li-2018-surface-exposed-water-ice.md	lunar-ice-and-geology	none	lunar
literature/lunar-ice-and-geology/li-2026-shadowcam-psr-water-ice.md	lunar-ice-and-geology	none	lunar
literature/lunar-ice-and-geology/litvak-2024-lend-cabeus-water-ice.md	lunar-ice-and-geology	none	lunar
literature/isru-processing/liu-2025-microwave-sintering-lunar-regolith-simulants.md	isru-processing	none	lunar
literature/growth-theory/lucas-1988-mechanics-economic-development.md	growth-theory	none	economics
literature/lunar-ice-and-geology/luchsinger-2021-lcross-water-modeling.md	lunar-ice-and-geology	none	lunar
literature/space-economy-and-markets/marcy-2026-orbiting-data-centres-impact.md	space-economy-and-markets	power-and-thermal	lunar
literature/space-economy-and-markets/matthews-2026-lunar-data-economy.md	space-economy-and-markets	none	lunar
literature/development-and-industrial-policy/may-1977-how-japans-economy-grew-so-fast-review.md	development-and-industrial-policy	none	economics
literature/space-economy-and-markets/mckeown-2024-space-resource-hurdle-rate.md	space-economy-and-markets	growth-theory	lunar
literature/lunar-ice-and-geology/mcleod-2017-extraterrestrial-ree.md	lunar-ice-and-geology	space-economy-and-markets	lunar
literature/self-replication-and-automation/metzger-2013-bootstrapping-space-industry.md	self-replication-and-automation	space-economy-and-markets	lunar
literature/isru-processing/metzger-2020-aqua-factorem.md	isru-processing	none	lunar
literature/programme-primaries/moon-base-architecture-users-guide.md	programme-primaries	none	lunar
literature/development-and-industrial-policy/murphy-1989-industrialization-big-push.md	development-and-industrial-policy	growth-theory	economics
literature/development-and-industrial-policy/nakamura-1989-postwar-japanese-economy.md	development-and-industrial-policy	none	economics
literature/logistics-and-delivery/nasa-clps-procurement-vignette.md	logistics-and-delivery	programme-primaries	lunar
